state_code,state_name,official_agency,union_status,union_name,right_to_work,cadet_hourly,starting_annual,top_annual,years_to_top,pension_system,pension_type,pension_multiplier,vesting_years
AL,Alabama,Alabama Department of Corrections (ADOC),Unionized (Collective Bargaining),"American Federation of State, County and Municipal Employees (AFSCME) Council 75",Yes,$12.36,$25728,"$48,000",10,Alabama State Employees' Retirement System (ASERS),Defined Benefit,2.5% at 57,10
AK,Alaska,Alaska Department of Corrections,Unionized (Collective Bargaining),Alaska Correctional Officers Association,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
AZ,Arizona,"Arizona Department of Corrections, Rehabilitation and Reentry (ADCRR)",Unionized (Collective Bargaining),AFSCME Council,Yes,$10.50 per hour,"$22,050 annually","$76,000 annually",10 years,Arizona State Retirement System (ASRS),Defined Benefit Pension,"2.5% at 57, 3% at 50, Rule of 80",10 years
AR,Arkansas,Arkansas Division of Correction (ADC),Unionized (Collective Bargaining),None,Yes,$15.00,"$30,600","$87,000",20 years,APERS (Arkansas Public Employees Retirement System),Defined Benefit Pension,"2.5% at 57, 3% at 50, Rule of 80",10 years
CA,California,California Department of Corrections and Rehabilitation (CDCR),Unionized (Collective Bargaining),California Correctional Peace Officers Association (CCPOA),No,N/A,"$5,000 location incentive bonus for certain institutions","$113,000 (maximum top-out base salary)",N/A,California Public Employees' Retirement System (CalPERS),Defined Benefit Pension,N/A,20 years of service
CO,Colorado,Colorado Department of Corrections (CDOC),Unionized (Collective Bargaining),None,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CT,Connecticut,Connecticut Department of Correction (CT DOC),Unionized (Collective Bargaining),Correctional Officers (NP-4) Collective Bargaining Unit,No,$1676.90,"$43,767.00",Not specified in the provided evidence,Not specified in the provided evidence,Comprehensive pension plan,Defined Benefit Pension,Not specified in the provided evidence,25 years
DE,Delaware,Delaware Department of Correction (DOC),Unionized (Collective Bargaining),None,No,"$5,000 paid in three (3) installments","$59,580 starting salary for Correctional Officers (starting July 1, 2026)",Not explicitly stated in the provided evidence,Not explicitly stated in the provided evidence,Correctional Officer Pension,Defined Benefit Pension,"Employees in a Correctional Officer (CO) or Probation and Parole Officer at the time of retirement, they have completed twenty-five (25) years of pension creditable State service, and with at least twenty (20) of those years of pension creditable service as a CO or PO series classified position.",Not explicitly stated in the provided evidence
FL,Florida,Florida Department of Corrections (FDC),Unionized (Collective Bargaining),Florida Law Enforcement Officers' Benevolent Association (FLLEOA),Yes,$10.50,"$22,080","$72,000",10 years,Florida Retirement System (FRS),Defined Benefit Pension,"2.5% at 57, 3% at 50, Rule of 80",10 years
GA,Georgia,Georgia Department of Corrections (GDC),Unionized (Collective Bargaining),Correction Officer Corporals' Bargaining Unit,Yes,$15.00,"$30,600","$91,200",20 years,Georgia Retirement System,Defined Benefit Pension,"2.5% at 57, 3% at 50, Rule of 80",10 years
